,left_distance,left_weight,right_distance,right_weight,label
103,4,3,3,1,1
104,5,2,4,5,2
105,4,1,2,2,0
106,1,3,4,4,2
107,4,4,4,2,1
108,2,4,5,3,2
109,4,5,2,5,1
110,2,2,3,3,2
111,1,4,5,5,2
112,1,5,3,2,2
113,5,2,3,5,2
114,2,5,3,3,1
115,2,3,4,1,1
116,2,5,3,2,1
117,5,4,5,4,0
118,5,5,2,4,1
119,1,5,2,3,2
120,3,1,5,3,2
121,2,2,1,5,2
122,1,5,2,1,1
123,4,4,3,5,1
124,2,4,1,3,1
125,1,2,5,3,2
126,3,4,1,2,1
127,3,5,5,1,1
128,4,5,4,5,0
129,5,3,3,2,1
130,3,5,2,1,1
131,1,4,3,5,2
132,1,5,2,1,1
133,2,2,5,4,2
134,3,5,3,5,0
135,4,4,2,1,1
136,5,1,2,1,1
137,3,4,1,1,1
138,2,1,2,3,2
139,1,1,3,1,2
140,3,4,5,5,2
141,2,5,4,5,2
142,3,1,2,4,2
143,3,1,2,1,1
144,5,3,4,2,1
145,4,1,5,4,2
146,2,2,1,2,1
147,5,1,2,3,2
148,5,5,3,5,1
149,4,4,5,3,1
150,5,4,2,5,1
151,1,2,3,4,2
152,4,4,5,4,2
153,3,4,2,5,1
154,1,5,4,3,2
155,4,4,3,2,1
156,5,3,2,1,1
157,1,3,1,4,2
158,4,4,5,4,2
159,3,4,4,2,1
160,4,3,2,3,1
161,2,5,3,2,1
162,2,5,1,3,1
163,2,2,3,2,2
164,5,2,4,4,2
165,4,3,1,2,1
166,2,1,4,2,2
167,4,2,1,1,1
168,5,5,3,1,1
169,4,5,5,3,1
170,5,4,1,4,1
171,2,1,1,1,1
172,5,1,5,4,2
173,3,3,4,1,1
174,3,4,1,5,1
175,1,3,3,1,0
176,2,3,2,5,2
177,4,1,2,4,2
178,2,1,3,5,2
179,5,5,2,3,1
180,3,5,4,3,1
181,5,1,4,2,2
182,2,3,3,4,2
183,2,2,2,4,2
184,5,4,4,3,1
185,1,2,5,4,2
186,5,3,5,4,2
187,5,5,5,2,1
188,2,4,1,3,1
189,3,2,2,5,2
190,5,3,4,2,1
191,3,2,2,3,0
192,4,1,2,2,0
193,5,5,1,2,1
194,3,2,5,5,2
195,3,4,2,3,1
196,4,2,3,3,2
197,4,1,4,5,2
198,3,3,1,4,1
199,4,4,5,5,2
200,2,5,5,2,0
201,3,4,4,2,1
202,4,4,4,2,1
203,3,5,4,4,2
204,4,2,4,3,2
205,1,3,3,5,2
206,5,5,2,3,1
207,5,3,4,5,2
208,5,1,4,4,2
209,1,1,3,2,2
210,4,2,5,3,2
211,3,4,5,2,1
212,5,5,5,5,0
213,2,4,4,4,2
214,1,4,2,4,2
215,4,2,5,1,1
216,3,1,2,5,2
217,3,4,4,2,1
218,4,1,2,4,2
219,3,1,2,2,2
220,5,3,2,2,1
221,1,3,1,3,1
222,5,3,4,4,2
223,4,4,3,4,1
224,3,4,5,2,1
225,3,2,4,5,2
226,2,3,5,3,2
227,5,4,3,1,1
228,3,3,2,1,1
229,1,5,4,4,2
230,1,5,2,3,2
231,1,5,5,4,2
232,1,3,5,4,2
233,2,4,5,3,2
234,4,4,3,1,1
235,4,3,5,5,2
236,5,3,3,2,1
237,2,3,4,2,2
238,5,4,5,4,0
239,4,4,3,2,1
240,5,4,4,3,1
241,5,5,2,1,1
242,5,4,2,4,1
243,4,1,1,3,1
244,3,5,3,1,1
245,1,4,1,1,1
246,2,4,5,3,2
247,2,2,3,5,2
248,5,5,3,4,1
249,3,4,1,1,1
250,4,5,3,1,1
251,3,1,3,4,2
252,5,5,5,2,1
253,3,3,4,3,2
254,1,1,2,4,2
255,5,5,1,2,1
256,4,3,1,3,1
257,4,3,5,1,1
258,4,1,1,1,1
259,2,4,2,2,1
260,5,5,5,5,0
261,1,4,3,2,2
262,2,3,5,3,2
263,5,5,1,5,1
264,3,2,1,4,1
265,5,2,2,5,0
266,2,2,3,5,2
267,3,3,1,4,1
268,4,1,3,5,2
269,3,5,5,4,2
270,3,1,5,1,2
271,5,2,1,1,1
272,4,5,4,2,1
273,4,1,1,1,1
274,3,4,2,2,1
275,3,2,2,5,2
276,4,5,4,2,1
277,4,5,1,3,1
278,3,4,5,5,2
279,5,5,3,2,1
280,1,1,2,4,2
281,2,4,2,1,1
282,4,2,2,2,1
283,4,3,3,5,2
284,4,5,4,3,1
285,3,2,1,5,1
286,2,5,1,3,1
287,4,5,3,1,1
288,4,3,5,2,1
289,2,1,4,5,2
290,4,5,3,4,1
291,3,1,2,1,1
292,2,1,3,3,2
293,4,5,4,1,1
294,5,3,5,5,2
295,2,4,2,2,1
296,4,3,3,2,1
297,5,5,1,4,1
298,3,2,1,1,1
299,2,2,2,3,2
300,5,1,1,5,0
301,5,5,1,5,1
302,5,3,4,1,1
303,2,2,4,4,2
304,2,1,2,2,2
305,2,5,5,5,2
306,1,5,4,5,2
307,5,3,3,2,1
308,4,1,1,4,0
309,2,4,2,2,1
310,3,4,5,5,2
311,4,5,2,4,1
312,5,3,2,2,1
313,3,1,2,3,2
314,1,2,5,5,2
315,4,4,1,2,1
316,5,4,3,2,1
317,5,5,5,5,0
318,4,4,3,3,1
319,4,4,3,1,1
320,5,5,4,4,1
321,3,2,5,1,1
322,5,3,3,3,1
323,3,4,4,2,1
324,5,3,2,1,1
325,3,5,3,5,0
326,2,5,1,1,1
327,4,4,5,4,2
328,1,4,3,5,2
329,3,2,5,5,2
330,4,1,5,5,2
331,3,4,4,4,2
332,2,2,2,2,0
333,2,1,3,4,2
334,3,2,2,4,2
335,3,2,5,4,2
336,4,5,4,2,1
337,3,4,5,3,2
338,5,3,4,4,2
339,3,5,3,5,0
340,1,4,1,3,1
341,3,1,2,1,1
342,5,5,5,4,1
343,3,1,4,1,2
344,2,2,5,4,2
345,3,3,4,4,2
346,5,2,4,1,1
347,3,1,1,1,1
348,4,5,4,4,1
349,3,2,1,2,1
350,5,1,3,1,1
351,4,5,4,1,1
352,5,3,5,4,2
353,3,2,1,4,1
354,3,3,5,2,2
355,2,1,4,4,2
356,2,4,1,2,1
357,5,5,3,3,1
358,3,4,5,3,2
359,4,1,5,1,2
360,5,3,4,1,1
361,3,2,5,5,2
362,1,5,4,1,1
363,2,2,2,4,2
364,2,2,3,5,2
365,2,4,1,4,1
366,5,4,5,1,1
367,4,3,2,3,1
368,2,1,4,3,2
369,3,2,3,1,1
370,3,2,1,2,1
371,4,5,1,5,1
372,3,4,1,2,1
373,2,2,2,2,0
374,2,5,1,1,1
375,2,4,2,1,1
376,4,1,2,5,2
377,2,4,2,2,1
378,5,1,2,5,2
379,5,2,1,4,1
380,5,1,5,2,2
381,3,4,3,2,1
382,3,3,4,4,2
383,2,3,2,5,2
384,2,5,2,5,0
385,5,1,2,1,1
386,5,3,4,1,1
387,2,5,5,2,0
388,5,4,2,3,1
389,5,5,3,5,1
390,1,3,1,1,1
391,2,5,1,5,1
392,2,3,3,5,2
393,1,1,3,3,2
394,2,2,2,3,2
395,1,4,1,5,2
396,5,2,5,2,0
397,4,1,5,5,2
398,1,5,3,5,2
399,5,4,1,3,1
400,5,1,3,1,1
401,4,5,1,4,1
402,2,4,4,2,0
403,4,5,2,5,1
404,4,2,4,5,2
405,2,3,5,4,2
406,5,3,4,3,1
407,3,1,2,5,2
408,3,2,4,4,2
409,3,5,2,5,1
410,2,5,4,4,2
411,2,1,2,1,0
412,4,1,2,1,1
413,2,4,5,2,2
414,2,1,3,2,2
415,1,1,3,4,2
416,3,4,1,4,1
417,4,3,2,5,1
418,3,2,3,2,0
419,2,1,4,5,2
420,5,3,3,4,1
421,4,3,3,2,1
422,5,4,3,3,1
423,3,2,1,1,1
424,1,1,5,4,2
425,4,2,1,3,1
426,1,2,1,2,0
427,2,3,2,5,2
428,4,2,2,2,1
429,1,3,3,1,0
430,1,3,3,1,0
431,1,4,1,5,2
432,3,5,4,2,1
433,4,5,4,5,0
434,5,5,5,2,1
435,3,4,4,1,1
436,3,5,5,3,0
437,2,1,2,2,2
438,1,2,4,1,2
439,1,1,1,2,2
440,1,2,2,1,0
441,2,1,4,1,2
442,3,1,2,2,2
443,3,2,3,2,0
444,1,2,3,1,2
445,1,4,5,4,2
446,3,1,5,4,2
447,1,1,5,3,2
448,3,4,5,4,2
449,3,2,3,3,2
450,3,4,2,2,1
451,2,1,4,5,2
452,3,5,5,3,0
453,2,2,4,5,2
454,3,1,5,1,2
455,1,4,1,3,1
456,4,5,3,4,1
457,4,4,1,5,1
458,4,4,2,4,1
459,4,3,4,4,2
460,3,2,1,4,1
461,2,1,1,3,2
462,2,4,4,2,0
463,4,4,1,5,1
464,1,5,1,1,1
465,5,3,4,5,2
466,3,1,3,5,2
467,1,2,3,4,2
468,1,3,2,5,2
469,1,3,5,2,2
470,3,2,1,2,1
